================================================================================
HMM 状態別デコード分析  k=7
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
  cs                 50.0%      0%    N/A    100%
  hs                 50.0%    100%    N/A      0%
  hy                 50.0%    100%    N/A      0%
  sh                 50.0%      0%    N/A    100%
  shckhh             50.0%      0%     50%    100%
  shhy               50.0%      0%    100%      0%
  chcfhhy            42.9%      0%     60%      0%
  chckhhy            42.9%      0%     60%      0%
  chcphhy            42.9%      0%     60%      0%
  chcthhy            42.9%      0%     60%      0%
  shckhhd            42.9%      0%     60%      0%
  shckhhy            42.9%      0%     60%      0%
  shcphhy            42.9%      0%     60%      0%
  shcthhy            42.9%      0%     60%      0%
  chchs              40.0%      0%     67%      0%
  chchy              40.0%      0%     67%      0%
  chckh              40.0%      0%     33%    100%
  chcth              40.0%      0%     33%    100%
  chshd              40.0%      0%     67%      0%
  chsho              40.0%      0%     67%      0%
  chshy              40.0%      0%     67%      0%
  ckhhy              40.0%      0%     67%      0%
  cphhy              40.0%      0%     67%      0%
  cthhy              40.0%      0%     67%      0%
  ithhy              40.0%      0%     67%      0%
  ockhh              40.0%      0%     33%    100%
  shchs              40.0%      0%     67%      0%

────────────────────────────────────────────────────────────────────────────────
  State 3: S3
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  eeeey              80.0%    100%    100%      0%
  doee               75.0%      0%    100%    100%
  eeer               75.0%    100%    100%      0%
  eees               75.0%    100%    100%      0%
  eeey               75.0%    100%    100%      0%
  deeeese            71.4%      0%     80%    100%
  eeedeed            71.4%    100%     80%      0%
  eeoeety            71.4%    100%     80%      0%
  choeee             66.7%      0%     75%    100%
  een                66.7%    100%    100%      0%
  eeo                66.7%    100%    100%      0%
  ees                66.7%    100%    100%      0%
  eetees             66.7%    100%     75%      0%
  eey                66.7%    100%    100%      0%
  etsees             66.7%    100%     75%      0%
  keeees             66.7%      0%    100%      0%
  oeeees             66.7%      0%    100%      0%
  soe                66.7%      0%    100%    100%
  soeees             66.7%      0%    100%      0%
  doeeeesm           62.5%      0%     83%      0%
  okeoeeey           62.5%      0%     83%      0%
  cheoe              60.0%      0%     67%    100%
  deees              60.0%      0%    100%      0%
  deeey              60.0%      0%    100%      0%
  doeey              60.0%      0%    100%      0%
  eeedy              60.0%    100%     67%      0%
  eeeos              60.0%    100%     67%      0%
  eesey              60.0%    100%     67%      0%
  ekeey              60.0%    100%     67%      0%
  geeem              60.0%      0%    100%      0%

────────────────────────────────────────────────────────────────────────────────
  State 4: S4
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  <@H=2>fshdar        0.0%      0%      0%      0%
  <@H=3>tchedy        0.0%      0%      0%      0%
  acheody             0.0%      0%      0%      0%
  ackaldy             0.0%      0%      0%      0%
  acthedy             0.0%      0%      0%      0%
  adairchdy           0.0%      0%      0%      0%
  adal                0.0%      0%      0%      0%
  adam                0.0%      0%      0%      0%
  adar                0.0%      0%      0%      0%
  adchey              0.0%      0%      0%      0%
  adeeody             0.0%      0%      0%      0%
  ador                0.0%      0%      0%      0%
  ady                 0.0%      0%      0%      0%
  aeeodeey            0.0%      0%      0%      0%
  aekeeey             0.0%      0%      0%      0%
  aes                 0.0%      0%      0%      0%
  ag                  0.0%      0%    N/A      0%
  aicky               0.0%      0%      0%      0%
  aiees               0.0%      0%      0%      0%
  aifhhy              0.0%      0%      0%      0%
  aifhy               0.0%      0%      0%      0%
  aii                 0.0%      0%      0%      0%
  aiichy              0.0%      0%      0%      0%
  aiicthy             0.0%      0%      0%      0%
  aiidal              0.0%      0%      0%      0%
  aiidy               0.0%      0%      0%      0%
  aiiikhedy           0.0%      0%      0%      0%
  aiiiky              0.0%      0%      0%      0%
  aiiin               0.0%      0%      0%      0%
  aiiinro             0.0%      0%      0%      0%

────────────────────────────────────────────────────────────────────────────────
  State 5: S5
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  ded                66.7%    100%      0%    100%
  ked                66.7%    100%      0%    100%
  ted                66.7%    100%      0%    100%
  da                 50.0%    100%    N/A      0%
  dady               50.0%    100%     50%      0%
  dait               50.0%    100%      0%    100%
  daky               50.0%    100%     50%      0%
  dareky             50.0%    100%     50%      0%
  dd                 50.0%    100%    N/A      0%
  dedy               50.0%    100%     50%      0%
  defo               50.0%    100%     50%      0%
  dery               50.0%    100%     50%      0%
  dg                 50.0%    100%    N/A      0%
  dl                 50.0%    100%    N/A      0%
  dm                 50.0%    100%    N/A      0%
  do                 50.0%    100%    N/A      0%
  dr                 50.0%    100%    N/A      0%
  ds                 50.0%    100%    N/A      0%
  dy                 50.0%    100%    N/A      0%
  dydy               50.0%    100%     50%      0%
  dydydy             50.0%    100%     50%      0%
  dykedy             50.0%    100%     50%      0%
  dyky               50.0%    100%     50%      0%
  dytedy             50.0%    100%     50%      0%
  dyty               50.0%    100%     50%      0%
  dytydy             50.0%    100%     50%      0%
  ek                 50.0%      0%    N/A    100%
  fo                 50.0%    100%    N/A      0%
  fydy               50.0%    100%     50%      0%
  ka                 50.0%    100%    N/A      0%

────────────────────────────────────────────────────────────────────────────────
  State 6: S6
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  scth               75.0%    100%    100%      0%
  cth                66.7%    100%    100%      0%
  chckh              60.0%    100%     67%      0%
  chcth              60.0%    100%     67%      0%
  ckcho              60.0%    100%     67%      0%
  ckshy              60.0%    100%     67%      0%
  cpchy              60.0%    100%     67%      0%
  ctchy              60.0%    100%     67%      0%
  chckshy            57.1%    100%     60%      0%
  schckhy            57.1%    100%     60%      0%
  schcthy            57.1%    100%     60%      0%
  cckhhy             50.0%    100%     50%      0%
  cfhs               50.0%    100%     50%      0%
  cfhy               50.0%    100%     50%      0%
  ch                 50.0%    100%    N/A      0%
  chcfhy             50.0%    100%     50%      0%
  chckhd             50.0%    100%     50%      0%
  chckhs             50.0%    100%     50%      0%
  chckhy             50.0%    100%     50%      0%
  chcphy             50.0%    100%     50%      0%
  chcthd             50.0%    100%     50%      0%
  chcthihy           50.0%    100%     50%      0%
  chctho             50.0%    100%     50%      0%
  chcthy             50.0%    100%     50%      0%
  ckchol             50.0%    100%     50%      0%
  ckhcfhhy           50.0%    100%     50%      0%
  ckheckhy           50.0%    100%     50%      0%
  ckho               50.0%    100%     50%      0%
  ckhocthy           50.0%    100%     50%      0%
  ckhs               50.0%    100%     50%      0%

────────────────────────────────────────────────────────────────────────────────
  State 7: S7
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  iiin              100.0%    100%    100%    100%
  iin               100.0%    100%    100%    100%
  iir               100.0%    100%    100%    100%
  in                100.0%    100%    N/A    100%
  rn                100.0%    100%    N/A    100%
  oiiiin             83.3%      0%    100%    100%
  aiiin              80.0%      0%    100%    100%
  ariin              80.0%      0%    100%    100%
  oiiin              80.0%      0%    100%    100%
  oirsg              80.0%      0%    100%    100%
  oriid              80.0%      0%    100%    100%
  oriim              80.0%      0%    100%    100%
  oriin              80.0%      0%    100%    100%
  siiin              80.0%      0%    100%    100%
  aiil               75.0%      0%    100%    100%
  aiim               75.0%      0%    100%    100%
  aiin               75.0%      0%    100%    100%
  aiir               75.0%      0%    100%    100%
  aiis               75.0%      0%    100%    100%
  oiin               75.0%      0%    100%    100%
  oiir               75.0%      0%    100%    100%
  yiin               75.0%      0%    100%    100%
  aiiinro            71.4%      0%    100%      0%
  aiisaim            71.4%      0%     80%    100%
  daiiils            71.4%      0%     80%    100%
  daiiine            71.4%      0%     80%    100%
  daiinls            71.4%      0%     80%    100%
  aii                66.7%      0%    100%    100%
  aiinal             66.7%      0%     75%    100%
  aiinod             66.7%      0%     75%    100%
